region,supplysector,subsector,stub.technology,minicam.energy.input,market.name,year,coefficient
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,Central America and Caribbean,2085,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,Central America and Caribbean,2090,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,Central America and Caribbean,2095,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,Central America and Caribbean,2100,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,Central America and Caribbean,2015,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,Central America and Caribbean,2020,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,Central America and Caribbean,2025,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,Central America and Caribbean,2030,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,Central America and Caribbean,2035,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,Central America and Caribbean,2040,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,Central America and Caribbean,2045,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,Central America and Caribbean,2050,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,Central America and Caribbean,2055,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,Central America and Caribbean,2060,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,Central America and Caribbean,2065,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,Central America and Caribbean,2070,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,Central America and Caribbean,2075,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,Central America and Caribbean,2080,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,Central America and Caribbean,2085,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,Central America and Caribbean,2090,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,Central America and Caribbean,2095,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,Central America and Caribbean,2100,0
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,Central America and Caribbean,2015,1.87e-5
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,Central America and Caribbean,2020,1.87e-5
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,Central America and Caribbean,2025,1.87e-5
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,Central America and Caribbean,2030,1.87e-5
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,Central America and Caribbean,2035,1.87e-5
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,Central America and Caribbean,2040,1.87e-5
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,Central America and Caribbean,2045,1.87e-5
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,Central America and Caribbean,2050,1.87e-5
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,Central America and Caribbean,2055,1.87e-5
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,Central America and Caribbean,2060,1.87e-5
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,Central America and Caribbean,2065,1.87e-5
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,Central America and Caribbean,2070,1.87e-5
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,Central America and Caribbean,2075,1.87e-5
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,Central America and Caribbean,2080,1.87e-5
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,Central America and Caribbean,2085,1.87e-5
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,Central America and Caribbean,2090,1.87e-5
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,Central America and Caribbean,2095,1.87e-5
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,Central America and Caribbean,2100,1.87e-5
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,Central America and Caribbean,2015,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,Central America and Caribbean,2020,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,Central America and Caribbean,2025,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,Central America and Caribbean,2030,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,Central America and Caribbean,2035,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,Central America and Caribbean,2040,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,Central America and Caribbean,2045,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,Central America and Caribbean,2050,2.808e-4
Central America and Caribbean,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,Central America and Caribbean,2055,2.808e-4
