region,supplysector,subsector,stub.technology,year,minicam.non.energy.input,input.cost
Mexico,H2 central production,solar,electrolysis,2070,electrolyzer,1.51645
Mexico,H2 central production,solar,electrolysis,2075,electrolyzer,1.51645
Mexico,H2 central production,solar,electrolysis,2080,electrolyzer,1.51645
Mexico,H2 central production,solar,electrolysis,2085,electrolyzer,1.51645
Mexico,H2 central production,solar,electrolysis,2090,electrolyzer,1.51645
Mexico,H2 central production,solar,electrolysis,2095,electrolyzer,1.51645
Mexico,H2 central production,solar,electrolysis,2100,electrolyzer,1.51645
Mexico,H2 central production,wind,electrolysis,1975,electrolyzer,3.5746000000000002
Mexico,H2 central production,wind,electrolysis,1990,electrolyzer,3.5746000000000002
Mexico,H2 central production,wind,electrolysis,2005,electrolyzer,3.5746000000000002
Mexico,H2 central production,wind,electrolysis,2010,electrolyzer,3.5746000000000002
Mexico,H2 central production,wind,electrolysis,2015,electrolyzer,3.5746000000000002
Mexico,H2 central production,wind,electrolysis,2020,electrolyzer,3.17
Mexico,H2 central production,wind,electrolysis,2025,electrolyzer,2.1953013980326683
Mexico,H2 central production,wind,electrolysis,2030,electrolyzer,1.5202991256164635
Mexico,H2 central production,wind,electrolysis,2035,electrolyzer,1.0528437841935854
Mexico,H2 central production,wind,electrolysis,2040,electrolyzer,0.89365000000000006
Mexico,H2 central production,wind,electrolysis,2045,electrolyzer,0.89365000000000006
Mexico,H2 central production,wind,electrolysis,2050,electrolyzer,0.89365000000000006
Mexico,H2 central production,wind,electrolysis,2055,electrolyzer,0.89365000000000006
Mexico,H2 central production,wind,electrolysis,2060,electrolyzer,0.89365000000000006
Mexico,H2 central production,wind,electrolysis,2065,electrolyzer,0.89365000000000006
Mexico,H2 central production,wind,electrolysis,2070,electrolyzer,0.89365000000000006
Mexico,H2 central production,wind,electrolysis,2075,electrolyzer,0.89365000000000006
Mexico,H2 central production,wind,electrolysis,2080,electrolyzer,0.89365000000000006
Mexico,H2 central production,wind,electrolysis,2085,electrolyzer,0.89365000000000006
Mexico,H2 central production,wind,electrolysis,2090,electrolyzer,0.89365000000000006
Mexico,H2 central production,wind,electrolysis,2095,electrolyzer,0.89365000000000006
Mexico,H2 central production,wind,electrolysis,2100,electrolyzer,0.89365000000000006
Middle East,H2 central production,solar,electrolysis,1975,electrolyzer,5.9502
Middle East,H2 central production,solar,electrolysis,1990,electrolyzer,5.9502
Middle East,H2 central production,solar,electrolysis,2005,electrolyzer,5.9502
Middle East,H2 central production,solar,electrolysis,2010,electrolyzer,5.9502
Middle East,H2 central production,solar,electrolysis,2015,electrolyzer,5.9502
Middle East,H2 central production,solar,electrolysis,2020,electrolyzer,5.2708
Middle East,H2 central production,solar,electrolysis,2025,electrolyzer,3.629966184532297
Middle East,H2 central production,solar,electrolysis,2030,electrolyzer,2.49993445033922
Middle East,H2 central production,solar,electrolysis,2035,electrolyzer,1.7216888362826712
Middle East,H2 central production,solar,electrolysis,2040,electrolyzer,1.48755
Middle East,H2 central production,solar,electrolysis,2045,electrolyzer,1.48755
Middle East,H2 central production,solar,electrolysis,2050,electrolyzer,1.48755
Middle East,H2 central production,solar,electrolysis,2055,electrolyzer,1.48755
Middle East,H2 central production,solar,electrolysis,2060,electrolyzer,1.48755
Middle East,H2 central production,solar,electrolysis,2065,electrolyzer,1.48755
Middle East,H2 central production,solar,electrolysis,2070,electrolyzer,1.48755
Middle East,H2 central production,solar,electrolysis,2075,electrolyzer,1.48755
Middle East,H2 central production,solar,electrolysis,2080,electrolyzer,1.48755
Middle East,H2 central production,solar,electrolysis,2085,electrolyzer,1.48755
Middle East,H2 central production,solar,electrolysis,2090,electrolyzer,1.48755
Middle East,H2 central production,solar,electrolysis,2095,electrolyzer,1.48755
Middle East,H2 central production,solar,electrolysis,2100,electrolyzer,1.48755
Middle East,H2 central production,wind,electrolysis,1975,electrolyzer,3.8182
Middle East,H2 central production,wind,electrolysis,1990,electrolyzer,3.8182
Middle East,H2 central production,wind,electrolysis,2005,electrolyzer,3.8182
Middle East,H2 central production,wind,electrolysis,2010,electrolyzer,3.8182
Middle East,H2 central production,wind,electrolysis,2015,electrolyzer,3.8182
Middle East,H2 central production,wind,electrolysis,2020,electrolyzer,3.3854
Middle East,H2 central production,wind,electrolysis,2025,electrolyzer,2.342373741903953
Middle East,H2 central production,wind,electrolysis,2030,electrolyzer,1.6206991040234913
Middle East,H2 central production,wind,electrolysis,2035,electrolyzer,1.1213691217557422
Middle East,H2 central production,wind,electrolysis,2040,electrolyzer,0.95455
Middle East,H2 central production,wind,electrolysis,2045,electrolyzer,0.95455
Middle East,H2 central production,wind,electrolysis,2050,electrolyzer,0.95455
Middle East,H2 central production,wind,electrolysis,2055,electrolyzer,0.95455
